Scrambling solved cube with: ['B', 'R', 'D inverse']
Scrambling solved cube with: ['B inverse', 'U', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'U inverse', 'B']
Scrambling solved cube with: ['B inverse', 'U', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'U inverse', 'B']
Scrambling solved cube with: ['B inverse', 'U', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'U inverse', 'B']
Scrambling solved cube with: ['B inverse', 'U', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'U inverse', 'B']
Scrambling solved cube with: ['B inverse', 'U', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'U inverse', 'B']
Scrambling solved cube with: ['B inverse', 'U inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'U', 'B']
Scrambling solved cube with: ['B inverse', 'U inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'U', 'B']
Scrambling solved cube with: ['B inverse', 'U inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'U', 'B']
Scrambling solved cube with: ['B inverse', 'U inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'U', 'B']
Scrambling solved cube with: ['B inverse', 'U inverse', 'U']
*** SOLVED ***
Moves to solve: ['B']
Scrambling solved cube with: ['B inverse', 'U inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'U', 'B']
Scrambling solved cube with: ['B inverse', 'U inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'U', 'B']
Scrambling solved cube with: ['B inverse', 'U inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'U', 'B']
Scrambling solved cube with: ['B inverse', 'U inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'U', 'B']
Scrambling solved cube with: ['B inverse', 'U inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'U', 'B']
Scrambling solved cube with: ['B inverse', 'U inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'U', 'B']
Scrambling solved cube with: ['B inverse', 'U inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'U', 'B']
Scrambling solved cube with: ['B inverse', 'D', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'D inverse', 'B']
Scrambling solved cube with: ['B inverse', 'D', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'D inverse', 'B']
Scrambling solved cube with: ['B inverse', 'D', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'D inverse', 'B']
Scrambling solved cube with: ['B inverse', 'D', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'D inverse', 'B']
Scrambling solved cube with: ['B inverse', 'D', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'D inverse', 'B']
Scrambling solved cube with: ['B inverse', 'D', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'D inverse', 'B']
Scrambling solved cube with: ['B inverse', 'D', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'D inverse', 'B']
Scrambling solved cube with: ['B inverse', 'D', 'D inverse']
*** SOLVED ***
Moves to solve: ['B']
Scrambling solved cube with: ['B inverse', 'D', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'D inverse', 'B']
Scrambling solved cube with: ['B inverse', 'D', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'D inverse', 'B']
Scrambling solved cube with: ['B inverse', 'D', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'D inverse', 'B']
Scrambling solved cube with: ['B inverse', 'D', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'D inverse', 'B']
Scrambling solved cube with: ['B inverse', 'D inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'D', 'B']
Scrambling solved cube with: ['B inverse', 'D inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'D', 'B']
Scrambling solved cube with: ['B inverse', 'D inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'D', 'B']
Scrambling solved cube with: ['B inverse', 'D inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'D', 'B']
Scrambling solved cube with: ['B inverse', 'D inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'D', 'B']
Scrambling solved cube with: ['B inverse', 'D inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'D', 'B']
Scrambling solved cube with: ['B inverse', 'D inverse', 'D']
*** SOLVED ***
Moves to solve: ['B']
Scrambling solved cube with: ['B inverse', 'D inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'D', 'B']
Scrambling solved cube with: ['B inverse', 'D inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'D', 'B']
Scrambling solved cube with: ['B inverse', 'D inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'D', 'B']
Scrambling solved cube with: ['B inverse', 'D inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'D', 'B']
Scrambling solved cube with: ['B inverse', 'D inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'D', 'B']
Scrambling solved cube with: ['B inverse', 'F', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'F inverse', 'B']
Scrambling solved cube with: ['B inverse', 'F', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'F inverse', 'B']
Scrambling solved cube with: ['B inverse', 'F', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'F inverse', 'B']
Scrambling solved cube with: ['B inverse', 'F', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'F inverse', 'B']
Scrambling solved cube with: ['B inverse', 'F', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'F inverse', 'B']
Scrambling solved cube with: ['B inverse', 'F', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'F inverse', 'B']
Scrambling solved cube with: ['B inverse', 'F', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'F inverse', 'B']
Scrambling solved cube with: ['B inverse', 'F', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'F inverse', 'B']
Scrambling solved cube with: ['B inverse', 'F', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'F inverse', 'B']
Scrambling solved cube with: ['B inverse', 'F', 'F inverse']
*** SOLVED ***
Moves to solve: ['B']
Scrambling solved cube with: ['B inverse', 'F', 'B']
*** SOLVED ***
Moves to solve: ['F inverse']
Scrambling solved cube with: ['B inverse', 'F', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'B', 'F inverse']
Scrambling solved cube with: ['B inverse', 'F inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'F', 'B']
Scrambling solved cube with: ['B inverse', 'F inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'F', 'B']
Scrambling solved cube with: ['B inverse', 'F inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'F', 'B']
Scrambling solved cube with: ['B inverse', 'F inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'F', 'B']
Scrambling solved cube with: ['B inverse', 'F inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'F', 'B']
Scrambling solved cube with: ['B inverse', 'F inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'F', 'B']
